	Filename	Batch	Group	Vector	TrueLabel	transforming	untransforming	Prediction.SVM.Caret	Prediction SVM wrong	Vector		geneSet	n	nes	fdr	pred.class GSEA	Prediction GSEA wrong
X6247	6247.txt	13	4	LV.EFS.d15	untransforming	0.014491971	0.985508029	untransforming	0	LV.EFS.d15	X6247	SAGA.CORE	18	-1.630793278	0.023106409	untransforming	0
X6248	6248.txt	13	5	LV.EFS.d15	untransforming	0.32955526	0.67044474	untransforming	0	LV.EFS.d15	X6248	SAGA.CORE	18	-1.628661183	0.014898481	untransforming	0
X6249	6249.txt	13	6	LV.EFS.d15	untransforming	0.018478556	0.981521444	untransforming	0	LV.EFS.d15	X6249	SAGA.CORE	18	-1.752177945	0.009213693	untransforming	0
X6250	6250.txt	13	7	LV.EFS.d15	untransforming	0.00445846	0.99554154	untransforming	0	LV.EFS.d15	X6250	SAGA.CORE	18	-1.954817233	5.40E-05	untransforming	0
X6251	6251.txt	14	1	Mock.d15	untransforming	0.226999791	0.773000209	untransforming	0	Mock.d15	X6251	NA	NA	NA	NA	NA	NA
X6252	6252.txt	14	2	RV.SF.d15	transforming	0.992389404	0.007610596	transforming	0	RV.SF.d15	X6252	SAGA.CORE	18	2.254861425	1.09E-12	transforming	0
X6253	6253.txt	14	3	RV.SF.d15	transforming	0.989315588	0.010684412	transforming	0	RV.SF.d15	X6253	SAGA.CORE	18	2.122866343	5.40E-09	transforming	0
X6254	6254.txt	14	4	LV.EFS.d15	untransforming	0.285742752	0.714257248	untransforming	0	LV.EFS.d15	X6254	SAGA.CORE	18	-1.221526706	0.213596219	untransforming	0
X6255	6255.txt	14	5	LV.EFS.d15	untransforming	0.741453698	0.258546302	transforming	1	LV.EFS.d15	X6255	SAGA.CORE	18	0.954447918	0.530164022	transforming	1
X6256	6256.txt	14	6	LV.EFS.d15	untransforming	0.23983992	0.76016008	untransforming	0	LV.EFS.d15	X6256	SAGA.CORE	18	-1.51080814	0.050271913	untransforming	0
X6257	6257.txt	14	7	LV.EFS.d15	untransforming	0.004073061	0.995926939	untransforming	0	LV.EFS.d15	X6257	SAGA.CORE	18	-1.541655212	0.036120985	untransforming	0
X6358	6358.txt	15	1	Mock.d15	untransforming	0.945644093	0.054355907	transforming	1	Mock.d15	X6358	NA	NA	NA	NA	NA	NA
X6359	6359.txt	15	2	RV.SF.d15	transforming	0.986944492	0.013055508	transforming	0	RV.SF.d15	X6359	SAGA.CORE	18	2.381669924	1.36E-12	transforming	0
X6360	6360.txt	15	3	MND.RAG1.d15	untransforming	0.015990607	0.984009393	untransforming	0	MND.RAG1.d15	X6360	SAGA.CORE	18	-1.500705777	0.04776451	untransforming	0
X6362	6362.txt	15	5	RV.SF.d15	transforming	0.980185686	0.019814314	transforming	0	RV.SF.d15	X6362	SAGA.CORE	18	2.358498295	7.51E-12	transforming	0
X6363	6363.txt	15	6	MND.RAG1.d15	untransforming	0.01313773	0.98686227	untransforming	0	MND.RAG1.d15	X6363	SAGA.CORE	18	-1.659651597	0.016509555	untransforming	0
X6365	6365.txt	15	8	PGK.RAG2.d15	untransforming	0.003882969	0.996117031	untransforming	0	PGK.RAG2.d15	X6365	NA	NA	NA	NA	NA	NA
X6366	6366.txt	15	9	MND.RAG1.d15	untransforming	0.003960921	0.996039079	untransforming	0	MND.RAG1.d15	X6366	SAGA.CORE	18	-1.509130145	0.056110432	untransforming	0
X6368	6368.txt	15	11	PGK.RAG2.d15	untransforming	0.014273844	0.985726156	untransforming	0	PGK.RAG2.d15	X6368	SAGA.CORE	18	-1.248110548	0.174638271	untransforming	0
X6369	6369.txt	15	12	PGK.RAG2.d15	untransforming	0.210929112	0.789070888	untransforming	0	PGK.RAG2.d15	X6369	SAGA.CORE	18	1.091092293	0.330882946	transforming	1
X6374	6374.txt	16	1	Mock.d15	untransforming	0.033791436	0.966208564	untransforming	0	Mock.d15	X6374	NA	NA	NA	NA	NA	NA
X6375	6375.txt	16	2	RV.SF.d15	transforming	0.993276645	0.006723355	transforming	0	RV.SF.d15	X6375	SAGA.CORE	18	2.153832696	2.99E-10	transforming	0
X6376	6376.txt	16	3	RSF91-Cer-WT.d15	transforming	0.986470006	0.013529994	transforming	0	RSF91-Cer-WT.d15	X6376	SAGA.CORE	18	2.308702353	2.44E-15	transforming	0
X6378	6378.txt	16	5	RSF91-Cer-WT.d15	transforming	0.989920717	0.010079283	transforming	0	RSF91-Cer-WT.d15	X6378	SAGA.CORE	18	2.159511411	1.50E-09	transforming	0
X6379	6379.txt	16	1	Mock.d15	untransforming	0.149285511	0.850714489	untransforming	0	Mock.d15	X6379	NA	NA	NA	NA	NA	NA
X6381	6381.txt	17	2	RSF91-Cer-WX.d15	transforming	0.973882538	0.026117462	transforming	0	RSF91-Cer-WX.d15	X6381	SAGA.CORE	18	2.004162387	0.000245792	transforming	0
X6382	6382.txt	17	3	RSF91-Cer-WT.d15	transforming	0.996098912	0.003901088	transforming	0	RSF91-Cer-WT.d15	X6382	SAGA.CORE	18	2.097627372	1.09E-07	transforming	0
X6384	6384.txt	17	5	RSF91-Cer-WX.d15	transforming	0.992043516	0.007956484	transforming	0	RSF91-Cer-WX.d15	X6384	SAGA.CORE	18	2.044503918	0.000948675	transforming	0
X6385	6385.txt	17	6	RSF91-Cer-WX.d15	transforming	0.977889851	0.022110149	transforming	0	RSF91-Cer-WX.d15	X6385	SAGA.CORE	18	2.151144307	1.81E-06	transforming	0
X6394	6394.txt	18	1	Mock.d15	untransforming	0.10836196	0.89163804	untransforming	0	Mock.d15	X6394	NA	NA	NA	NA	NA	NA
X6395	6395.txt	18	2	MND.RAG1.d15	untransforming	0.006350232	0.993649768	untransforming	0	MND.RAG1.d15	X6395	SAGA.CORE	18	-1.936150804	0.001025447	untransforming	0
X6398	6398.txt	18	5	MND.RAG1.d15	untransforming	0.008746525	0.991253475	untransforming	0	MND.RAG1.d15	X6398	SAGA.CORE	18	-1.826832895	0.00297067	untransforming	0
X6399	6399.txt	18	1	Mock.d15	untransforming	0.047345984	0.952654016	untransforming	0	Mock.d15	X6399	NA	NA	NA	NA	NA	NA
X6400	6400.txt	18	6	PGK.RAG2.d15	untransforming	0.006238764	0.993761236	untransforming	0	PGK.RAG2.d15	X6400	SAGA.CORE	18	-1.059922667	0.386852739	untransforming	0
X6402	6402.txt	18	8	PGK.RAG2.d15	untransforming	0.119511634	0.880488366	untransforming	0	PGK.RAG2.d15	X6402	SAGA.CORE	18	1.611298623	0.021098691	transforming	1
X6403	6403.txt	18	9	RV.SF.d15	transforming	0.983147745	0.016852255	transforming	0	RV.SF.d15	X6403	SAGA.CORE	18	2.22822825	1.82E-09	transforming	0
X6406	6406.txt	18	12	MND.RAG1.d15	untransforming	0.009081703	0.990918297	untransforming	0	MND.RAG1.d15	X6406	SAGA.CORE	18	-1.832263506	0.003087891	untransforming	0
X6407	6407.txt	18	13	RV.SF.d15	transforming	0.987459426	0.012540574	transforming	0	RV.SF.d15	X6407	SAGA.CORE	18	2.409571566	0	transforming	0
X6409	6409.txt	18	15	PGK.RAG2.d15	untransforming	0.024620922	0.975379078	untransforming	0	PGK.RAG2.d15	X6409	SAGA.CORE	18	-1.124643944	0.309359272	untransforming	0
X6452	6452.txt	19	1	Mock.d15	untransforming	0.127960007	0.872039993	untransforming	0	Mock.d15	X6452	NA	NA	NA	NA	NA	NA
X6453	6453.txt	19	2	RV.SF.d15	transforming	0.983520119	0.016479881	transforming	0	RV.SF.d15	X6453	SAGA.CORE	18	2.197695828	3.44E-08	transforming	0
X6454	6454.txt	19	3	MND.RAG1.d15	untransforming	0.047821809	0.952178191	untransforming	0	MND.RAG1.d15	X6454	SAGA.CORE	18	-1.840216675	0.005653836	untransforming	0
X6455	6455.txt	19	4	PGK.RAG2.d15	untransforming	0.272062075	0.727937925	untransforming	0	PGK.RAG2.d15	X6455	SAGA.CORE	18	1.135557953	0.284635064	transforming	1
X6456	6456.txt	19	5	RV.SF.d15	transforming	0.975775949	0.024224051	transforming	0	RV.SF.d15	X6456	SAGA.CORE	18	2.209147611	7.90E-13	transforming	0
X6457	6457.txt	19	6	MND.RAG1.d15	untransforming	0.939327841	0.060672159	transforming	1	MND.RAG1.d15	X6457	SAGA.CORE	18	2.315725221	2.59E-05	transforming	1
X6459	6459.txt	19	8	PGK.RAG2.d15	untransforming	0.974449348	0.025550652	transforming	1	PGK.RAG2.d15	X6459	SAGA.CORE	18	1.465756786	0.062614722	transforming	1
X6460	6460.txt	19	9	MND.RAG1.d15	untransforming	0.052963324	0.947036676	untransforming	0	MND.RAG1.d15	X6460	SAGA.CORE	18	1.291121637	0.151579954	transforming	1
X6463	6463.txt	19	12	PGK.RAG2.d15	untransforming	0.8948762	0.1051238	transforming	1	PGK.RAG2.d15	X6463	SAGA.CORE	18	1.981040448	3.17E-05	transforming	1
