Variables	ROC	Sens	Spec	ROCSD	SensSD	SpecSD	SEED	SeSpAve
14	0.936111111	0.933333333	0.716666667	0.132281085	0.140545674	0.326787582	2	0.825
15	0.931944444	0.908333333	0.741666667	0.120094056	0.149329778	0.338957188	6	0.825
15	0.951388889	0.966666667	0.683333333	0.052887313	0.105409255	0.306312194	8	0.825
14	0.972222222	0.9	0.75	0.060006858	0.224982853	0.285989726	9	0.825
19	0.966666667	0.933333333	0.716666667	0.070272837	0.140545674	0.331476309	9	0.825
12	0.965972222	0.9	0.75	0.060047028	0.224982853	0.207869855	9	0.825
15	0.975	0.908333333	0.741666667	0.056245713	0.149329778	0.354534123	12	0.825
19	0.975	0.9	0.75	0.056245713	0.316227766	0.254587539	12	0.825
13	0.96875	0.908333333	0.741666667	0.056630231	0.149329778	0.220304223	12	0.825
11	0.945138889	0.916666667	0.733333333	0.076104268	0.136082763	0.221526689	12	0.825
14	0.941666667	1	0.65	0.096625151	0	0.33518007	14	0.825
20	0.958333333	0.9	0.75	0.131761569	0.316227766	0.225667733	18	0.825
17	0.972222222	0.891666667	0.758333333	0.045360921	0.184466197	0.258944915	19	0.825
18	0.939583333	0.833333333	0.808333333	0.086491717	0.323941772	0.229229789	1	0.820833333
18	0.970833333	0.975	0.666666667	0.062268088	0.079056942	0.342467445	3	0.820833333
16	0.940277778	0.941666667	0.7	0.10032526	0.124536177	0.249072353	4	0.820833333
14	0.931944444	0.933333333	0.708333333	0.120094056	0.140545674	0.326905619	6	0.820833333
13	0.914583333	0.933333333	0.708333333	0.143146546	0.140545674	0.326905619	6	0.820833333
15	0.913888889	1	0.641666667	0.136365975	0	0.306941302	7	0.820833333
19	0.951388889	0.975	0.666666667	0.065880785	0.079056942	0.27498597	8	0.820833333
13	0.972222222	0.9	0.741666667	0.060006858	0.224982853	0.343479832	9	0.820833333
17	0.955555556	0.966666667	0.675	0.073142288	0.105409255	0.310440746	9	0.820833333
14	0.961111111	0.975	0.666666667	0.083024118	0.079056942	0.260578653	10	0.820833333
18	0.96875	0.9	0.741666667	0.067507716	0.316227766	0.276245775	15	0.820833333
15	0.940972222	0.95	0.691666667	0.078924663	0.105409255	0.338045398	16	0.820833333
17	0.934722222	0.95	0.691666667	0.091673681	0.105409255	0.386999378	16	0.820833333
20	0.9625	0.975	0.658333333	0.08436857	0.079056942	0.190232152	5	0.816666667
13	0.963194444	0.975	0.658333333	0.072023855	0.079056942	0.279024978	10	0.816666667
13	0.958333333	0.966666667	0.666666667	0.105774626	0.105409255	0.321551025	17	0.816666667
18	0.938888889	1	0.633333333	0.158113883	0	0.373091853	18	0.816666667
16	0.917361111	0.966666667	0.658333333	0.11035866	0.105409255	0.320228506	1	0.8125
17	0.951388889	0.975	0.65	0.100154202	0.079056942	0.285449613	4	0.8125
14	0.933333333	0.966666667	0.658333333	0.116534316	0.105409255	0.389780723	7	0.8125
16	0.938888889	1	0.625	0.112491426	0	0.336214401	9	0.8125
19	0.952777778	1	0.625	0.09976825	0	0.40301717	13	0.8125
13	0.95625	1	0.625	0.093402132	0	0.267158112	15	0.8125
15	0.95	0.966666667	0.658333333	0.105409255	0.105409255	0.267735128	17	0.8125
16	0.95	0.933333333	0.691666667	0.089580642	0.140545674	0.376898487	20	0.8125
15	0.925	0.9	0.716666667	0.141063227	0.224982853	0.286528821	2	0.808333333
18	0.951388889	0.925	0.691666667	0.100154202	0.168737139	0.269458763	4	0.808333333
16	0.925694444	0.933333333	0.683333333	0.124916381	0.140545674	0.337474279	6	0.808333333
11	0.925	0.833333333	0.783333333	0.091708745	0.283278862	0.153156097	7	0.808333333
12	0.948611111	0.908333333	0.708333333	0.085879318	0.149329778	0.208795783	10	0.808333333
18	0.961111111	0.966666667	0.65	0.083024118	0.105409255	0.365992646	13	0.808333333
12	0.929861111	0.9	0.716666667	0.116499826	0.161015297	0.399073	13	0.808333333
11	0.927777778	0.908333333	0.708333333	0.102439383	0.149329778	0.286663437	20	0.808333333
19	0.939583333	0.966666667	0.641666667	0.086491717	0.105409255	0.333449054	1	0.804166667
13	0.940972222	0.908333333	0.7	0.089248045	0.149329778	0.172132593	5	0.804166667
19	0.929861111	0.9	0.708333333	0.116499826	0.316227766	0.304923589	11	0.804166667
15	0.944444444	0.933333333	0.675	0.098861836	0.140545674	0.343479832	13	0.804166667
18	0.941666667	0.9	0.708333333	0.096625151	0.316227766	0.286663437	14	0.804166667
12	0.954166667	0.95	0.65	0.118585412	0.105409255	0.365992646	3	0.8
17	0.943055556	0.891666667	0.708333333	0.075350689	0.184466197	0.322150375	8	0.8
18	0.955555556	0.941666667	0.658333333	0.073142288	0.124536177	0.279024978	9	0.8
19	0.96875	0.85	0.75	0.067507716	0.316227766	0.248451997	15	0.8
18	0.943055556	0.975	0.625	0.084976092	0.079056942	0.40301717	16	0.8
15	0.927777778	0.916666667	0.683333333	0.102439383	0.136082763	0.386500603	20	0.8
17	0.939583333	0.933333333	0.658333333	0.086491717	0.140545674	0.279024978	1	0.795833333
14	0.939583333	0.95	0.641666667	0.142471163	0.105409255	0.344825059	3	0.795833333
17	0.95	1	0.591666667	0.158113883	0	0.381780268	18	0.795833333
12	0.963888889	0.9	0.683333333	0.082869077	0.224982853	0.382486988	2	0.791666667
16	0.91875	0.9	0.683333333	0.138736413	0.224982853	0.382486988	2	0.791666667
20	0.970833333	0.975	0.608333333	0.062268088	0.079056942	0.34258008	3	0.791666667
19	0.9625	0.875	0.708333333	0.08436857	0.317323879	0.201269121	5	0.791666667
18	0.921527778	0.975	0.608333333	0.120461593	0.079056942	0.200500916	10	0.791666667
18	0.975	0.9	0.683333333	0.056245713	0.316227766	0.348718996	12	0.791666667
16	0.940972222	0.95	0.633333333	0.078924663	0.105409255	0.373091853	16	0.791666667
16	0.95	0.966666667	0.616666667	0.089580642	0.105409255	0.264108096	17	0.791666667
18	0.929861111	0.9	0.675	0.116499826	0.316227766	0.305429267	11	0.7875
13	0.938194444	0.9	0.675	0.096915853	0.161015297	0.343479832	13	0.7875
14	0.941666667	0.933333333	0.641666667	0.124536177	0.140545674	0.324060846	17	0.7875
15	0.938888889	0.975	0.6	0.158113883	0.079056942	0.355295043	18	0.7875
18	0.958333333	0.975	0.6	0.080985443	0.079056942	0.277221666	20	0.7875
15	0.939583333	0.95	0.616666667	0.142471163	0.105409255	0.345160546	3	0.783333333
16	0.939583333	0.95	0.616666667	0.142471163	0.105409255	0.379245515	3	0.783333333
19	0.957638889	0.9	0.666666667	0.101136482	0.316227766	0.424918293	4	0.783333333
15	0.963888889	0.9	0.666666667	0.061488732	0.316227766	0.342467445	9	0.783333333
15	0.921527778	1	0.566666667	0.120461593	0	0.355295043	11	0.783333333
11	0.936111111	0.9	0.666666667	0.118612521	0.161015297	0.357891631	13	0.783333333
16	0.970833333	0.875	0.691666667	0.062268088	0.317323879	0.376898487	14	0.783333333
13	0.947222222	0.941666667	0.625	0.082245993	0.124536177	0.291997167	20	0.783333333
19	0.916666667	1	0.558333333	0.11785113	0	0.388988083	7	0.779166667
20	0.916666667	1	0.558333333	0.124225999	0	0.355837562	7	0.779166667
13	0.923611111	0.916666667	0.641666667	0.089592604	0.136082763	0.344825059	16	0.779166667
17	0.929861111	0.9	0.65	0.116499826	0.316227766	0.346499247	11	0.775
17	0.936111111	0.966666667	0.583333333	0.118612521	0.105409255	0.355729124	13	0.775
14	0.9625	0.925	0.625	0.08436857	0.237170825	0.267158112	15	0.775
17	0.95	1	0.541666667	0.080507649	0	0.3385016	7	0.770833333
19	0.941666667	0.8	0.741666667	0.096625151	0.421637021	0.300334176	14	0.770833333
19	0.925694444	0.933333333	0.591666667	0.113404665	0.140545674	0.310440746	6	0.7625
13	0.958333333	0.933333333	0.591666667	0.070819715	0.140545674	0.327377345	7	0.7625
20	0.963888889	0.866666667	0.658333333	0.061488732	0.322030594	0.336673084	9	0.7625
16	0.954861111	0.808333333	0.708333333	0.082118851	0.319263234	0.286663437	10	0.758333333
20	0.933333333	0.975	0.541666667	0.08996265	0.079056942	0.358430219	10	0.758333333
20	0.929861111	1	0.516666667	0.116499826	0	0.365992646	11	0.758333333
17	0.958333333	0.875	0.633333333	0.090010287	0.317323879	0.358322567	3	0.754166667
20	0.958333333	0.866666667	0.641666667	0.080985443	0.322030594	0.324060846	17	0.754166667
20	0.95	1	0.508333333	0.074994284	0	0.325011871	19	0.754166667
20	0.957638889	0.875	0.625	0.101136482	0.317323879	0.331592677	4	0.75
16	0.933333333	0.9	0.6	0.116534316	0.316227766	0.318658453	7	0.75
16	0.9625	0.8	0.7	0.08436857	0.421637021	0.404831927	15	0.75
20	0.940972222	0.875	0.625	0.089248045	0.317323879	0.371121923	16	0.75
19	0.935416667	1	0.5	0.094429125	0	0.351364184	20	0.75
18	0.944444444	0.933333333	0.558333333	0.120013717	0.210818511	0.351473969	2	0.745833333
19	0.933333333	0.866666667	0.625	0.119440856	0.322030594	0.336214401	2	0.745833333
18	0.943055556	0.866666667	0.616666667	0.108860304	0.322030594	0.307318149	6	0.741666667
16	0.951388889	0.875	0.608333333	0.065880785	0.317323879	0.408342781	8	0.741666667
17	0.95	0.966666667	0.516666667	0.089580642	0.105409255	0.365992646	17	0.741666667
17	0.925694444	0.833333333	0.641666667	0.124916381	0.323941772	0.328788461	6	0.7375
17	0.9625	0.75	0.725	0.08436857	0.424918293	0.331126957	15	0.7375
19	0.949305556	0.975	0.491666667	0.081647689	0.079056942	0.393719992	16	0.733333333
17	0.958333333	0.941666667	0.525	0.080985443	0.124536177	0.364408027	20	0.733333333
20	0.928472222	0.966666667	0.491666667	0.112741225	0.105409255	0.393719992	1	0.729166667
18	0.905555556	1	0.458333333	0.145932506	0	0.322150375	7	0.729166667
18	0.943055556	0.975	0.483333333	0.075350689	0.079056942	0.398298852	8	0.729166667
18	0.941666667	1	0.458333333	0.104305463	0	0.317323879	17	0.729166667
20	0.929166667	1	0.458333333	0.096325227	0	0.317323879	20	0.729166667
20	0.96875	0.8	0.65	0.067507716	0.368932394	0.394405319	15	0.725
20	0.925	0.966666667	0.466666667	0.11715799	0.105409255	0.329140294	2	0.716666667
19	0.927777778	0.875	0.558333333	0.122977465	0.317323879	0.272307243	10	0.716666667
20	0.958333333	0.8	0.633333333	0.090010287	0.421637021	0.299691199	14	0.716666667
20	0.951388889	0.9	0.508333333	0.065880785	0.316227766	0.356703875	8	0.704166667
17	0.964583333	0.925	0.475	0.074826187	0.237170825	0.360148289	14	0.7
17	0.927777778	0.875	0.483333333	0.122977465	0.317323879	0.33518007	10	0.679166667
20	0.936805556	0.766666667	0.55	0.114832081	0.417221852	0.395187094	6	0.658333333
19	0.958333333	0.8	0.516666667	0.080985443	0.421637021	0.398298852	17	0.658333333
