PROBE_ID	SYMBOL
A_55_P2032659	Tox
A_55_P2077048	Itih5
A_55_P2057587	Arx
A_66_P122086	9030619P08Rik
A_52_P663904	Lhfpl1
A_55_P2171158	Hmgn1
A_55_P2024155	Zbtb16
A_52_P162957	Frat2
A_55_P1957249	Pdgfrb
A_51_P115626	Shank3
A_55_P2018929	Spns2
A_51_P289392	Naip1
A_55_P2269983	4933406B15Rik
A_55_P2106666	Adcy9
A_51_P205028	Fgf3
A_51_P138895	Ccdc102a
A_52_P56682	Sla2
